year	title	doi	source	oa
2025	Rare W → Bc + γ decay up to the NNLO and NLL accuracy in QCD	https://doi.org/10.1007/jhep07(2025)042	Journal of High Energy Physics	true
2025	Two-loop Feynman integrals for leading colour $$ t\\overline{t}W $$ production at hadron colliders	https://doi.org/10.1007/jhep07(2025)001	Journal of High Energy Physics	true
2025	High-precision numerical evaluation of Lauricella functions	https://doi.org/10.1016/j.nuclphysb.2025.116994	Nuclear Physics B	true
2025	Local form factor subtraction for three-loop QCD corrections to electroweak production in quark-antiquark annihilation	https://doi.org/10.1007/jhep06(2025)257	Journal of High Energy Physics	true
2025	The canonical differential equations of the one-loop-like integrals	https://doi.org/10.1007/jhep06(2025)245	Journal of High Energy Physics	true
2025	Complete Function Space for Planar Two-Loop Six-Particle Scattering Amplitudes	https://doi.org/10.1103/zhzd-tj9p	Physical Review Letters	true
2025	From operator product expansion to anomalous dimensions	https://doi.org/10.1007/jhep06(2025)135	Journal of High Energy Physics	true
2025	On the seven-loop renormalization of Gross-Neveu model	https://doi.org/10.1007/jhep06(2025)134	Journal of High Energy Physics	true
2025	Planar six-point Feynman integrals for four-dimensional gauge theories	https://doi.org/10.1007/jhep06(2025)112	Journal of High Energy Physics	true
2025	Analytic two-loop amplitudes for $$ q\\overline{q}\\to \\gamma \\gamma $$ and gg → γγ mediated by a heavy-quark loop	https://doi.org/10.1007/jhep06(2025)033	Journal of High Energy Physics	true
2025	Electroweak double-box integrals for Møller scattering	https://doi.org/10.21468/scipostphys.18.6.172	SciPost Physics	true
2025	Higgs production from anomalous gluon dynamics	https://doi.org/10.1007/jhep06(2025)004	Journal of High Energy Physics	true
2025	Comparison of Various Feynman Diagram Calculation Methods for the Decay b → sγ	https://doi.org/10.1134/s1068337225700422	Journal of Contemporary Physics (Armenian Academy of Sciences)	false
2025	Lattice-QCD Computable Quark Correlation Functions at Three-Loop Order and Extraction of Splitting Functions	https://doi.org/10.1103/53ys-3n19	Physical Review Letters	true
2025	Analytic computation of three-loop five-point Feynman integrals	https://doi.org/10.1103/qrk2-cym5	Physical review. D/Physical review. D.	true
2025	A three-body form factor at sub-leading power in the high-energy limit: planar contributions*	https://doi.org/10.1088/1674-1137/addcc7	Chinese Physics C	true
2025	A new method for finding more symmetry relations of Feynman integrals	https://doi.org/10.1016/j.cpc.2025.109681	Computer Physics Communications	false
2025	Efficient computation of one-loop Feynman integrals and fixed-branch integrals to high orders in <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>ε</mml:mi></mml:math>	https://doi.org/10.1103/physrevd.111.094028	Physical review. D/Physical review. D.	true
2025	Next-to-Next-to-Leading-Order QCD Prediction for the Pion Form Factor	https://doi.org/10.1103/yx51-lc3q	Physical Review Letters	true
2025	Next-to-leading order QCD corrections to <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:msubsup><mml:mi>B</mml:mi><mml:mi>c</mml:mi><mml:mo>*</mml:mo></mml:msubsup><mml:mo stretchy="false">→</mml:mo><mml:mi>J</mml:mi><mml:mo>/</mml:mo><mml:mi>ψ</mml:mi></mml:math> form factors	https://doi.org/10.1103/physrevd.111.094019	Physical review. D/Physical review. D.	true
2025	Rationalisation of multiple square roots in Feynman integrals	https://doi.org/10.1007/jhep05(2025)078	Journal of High Energy Physics	true
2025	Integrated unitarity for scattering amplitudes and the four-loop ladder Feynman integral	https://doi.org/10.1007/jhep05(2025)004	Journal of High Energy Physics	true
2025	Chiral representation of the nucleon mass at leading two-loop order	https://doi.org/10.1007/jhep04(2025)192	Journal of High Energy Physics	true
2025	Analytic next-to-leading order Yukawa and Higgs boson self-coupling corrections to gg → HH at high energies	https://doi.org/10.1007/jhep04(2025)193	Journal of High Energy Physics	true
2025	Analytic results for some types of Feynman integrals at any loop order	https://doi.org/10.1088/1572-9494/adcf7f	Communications in Theoretical Physics	false
2025	Semi-automatic calculations of multi-loop Feynman amplitudes with AmpRed	https://doi.org/10.1016/j.cpc.2025.109607	Computer Physics Communications	false
2025	Positivity properties of five-point two-loop Wilson loops with Lagrangian insertion	https://doi.org/10.1007/jhep04(2025)022	Journal of High Energy Physics	true
2025	Analytic decay width of the Higgs boson to massive bottom quarks at order $$ {\\alpha}_s^3 $$	https://doi.org/10.1007/jhep03(2025)163	Journal of High Energy Physics	true
2025	On the photon self-energy to three loops in QED	https://doi.org/10.1007/jhep03(2025)148	Journal of High Energy Physics	true
2025	Investigating the universality of five-point QCD scattering amplitudes at high energy	https://doi.org/10.1007/jhep03(2025)129	Journal of High Energy Physics	true
2025	The two-loop fully differential soft function for $$Q\\overline{Q }V$$ production at lepton colliders	https://doi.org/10.1007/jhep03(2025)096	Journal of High Energy Physics	true
2025	Numerical evaluation of two-loop QCD helicity amplitudes for $$ gg\\to t\\overline{t}g $$ at leading colour	https://doi.org/10.1007/jhep03(2025)070	Journal of High Energy Physics	true
2025	Multivariate hypergeometric solutions of cosmological (dS) correlators by d log-form differential equations	https://doi.org/10.1007/jhep03(2025)075	Journal of High Energy Physics	true
2025	GKZ hypergeometric systems of the four-loop vacuum Feynman integrals	https://doi.org/10.1007/jhep03(2025)013	Journal of High Energy Physics	true
2025	Wind Speed Weibull Model Identification in Oman, and Computed Normalized Annual Energy Production (<scp>NAEP</scp>) From Wind Turbines Based on Data From Weather Stations	https://doi.org/10.1002/eng2.70089	Engineering Reports	true
2025	Helicity amplitudes in massless QED to higher orders in the dimensional regulator	https://doi.org/10.1103/physrevd.111.036024	Physical review. D/Physical review. D.	true
2025	A first computation of three-loop master integrals for the production of two off-shell vector bosons with different masses	https://doi.org/10.1007/jhep02(2025)088	Journal of High Energy Physics	true
2025	Precision tests of third-generation four-quark operators: one- and two-loop matching	https://doi.org/10.1007/jhep02(2025)038	Journal of High Energy Physics	true
2025	Blade: A package for block-triangular form improved Feynman integrals decomposition	https://doi.org/10.1016/j.cpc.2025.109538	Computer Physics Communications	true
2025	Complete $$ \\mathcal{O}\\left({\\alpha}_s^2\\right) $$ corrections to the leptonic invariant mass spectrum in $$ b\\to {X}_cl{\\overline{\\nu}}_l $$ decay	https://doi.org/10.1007/jhep02(2025)021	Journal of High Energy Physics	true
2025	Analytic two-loop four-point form factor of the stress-tensor supermultiplet in $$ \\mathcal{N} $$ = 4 SYM	https://doi.org/10.1007/jhep02(2025)002	Journal of High Energy Physics	true
2025	Parting gravity’s tail: quadrupole tails at fifth order and beyond via integer partitions	https://doi.org/10.1007/jhep02(2025)016	Journal of High Energy Physics	true
2025	A two-loop four-point form factor at function level	https://doi.org/10.1007/jhep01(2025)012	Journal of High Energy Physics	true
2025	Higher-Order Corrections at the LHC: Current Status and Prospects	https://doi.org/10.1007/978-3-031-76856-9_5	Springer proceedings in physics	false
2025	Enhancing Performance of High-Speed Engineering Flow Computations: The URANOS Case Study	https://doi.org/10.1016/j.procs.2025.02.257	Procedia Computer Science	true
2024	Two-loop running effects in Higgs physics in Standard Model Effective Field Theory	https://doi.org/10.1007/jhep12(2024)220	Journal of High Energy Physics	true
2024	Graded transcendental functions: an application to four-point amplitudes with one off-shell leg	https://doi.org/10.1007/jhep12(2024)215	Journal of High Energy Physics	true
2024	Two-loop planar master integrals for NNLO QCD corrections to W-pair production in quark-antiquark annihilation	https://doi.org/10.1007/jhep12(2024)136	Journal of High Energy Physics	true
2024	Improved constraints on Higgs boson self-couplings with quartic and cubic power dependencies of the cross section*	https://doi.org/10.1088/1674-1137/ad9d1d	Chinese Physics C	true
2024	Mixed QCD-EW corrections to W-pair production at electron-positron colliders	https://doi.org/10.1007/jhep12(2024)038	Journal of High Energy Physics	true
2024	Gravitational Bremsstrahlung in black-hole scattering at $$ \\mathcal{O}\\left({G}^3\\right) $$: linear-in-spin effects	https://doi.org/10.1007/jhep11(2024)109	Journal of High Energy Physics	true
2024	Collinear limit of the four-point energy correlator in <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi mathvariant="script">N</mml:mi><mml:mo>=</mml:mo><mml:mn>4</mml:mn></mml:math> supersymmetric Yang-Mills theory	https://doi.org/10.1103/physrevd.110.l091901	Physical review. D/Physical review. D.	true
2024	Three-loop contributions to b → sγ associated with the current-current operators	https://doi.org/10.1007/jhep11(2024)058	Journal of High Energy Physics	true
2024	On the electron self-energy to three loops in QED	https://doi.org/10.1007/jhep11(2024)020	Journal of High Energy Physics	true
2024	Three loop QCD corrections to the heavy-light form factors: fermionic contributions	https://doi.org/10.1007/jhep10(2024)254	Journal of High Energy Physics	true
2024	Two-loop five-point two-mass planar integrals and double Lagrangian insertions in a Wilson loop	https://doi.org/10.1007/jhep10(2024)167	Journal of High Energy Physics	true
2024	Nonleptonic B-meson decays to next-to-next-to-leading order	https://doi.org/10.1007/jhep10(2024)144	Journal of High Energy Physics	true
2024	H graph with unequal masses in quantum field theory	https://doi.org/10.1103/physrevd.110.076018	Physical review. D/Physical review. D.	true
2024	Identifying regions in wide-angle scattering via graph-theoretical approaches	https://doi.org/10.1007/jhep09(2024)197	Journal of High Energy Physics	true
2024	Next-to-leading-order electroweak correction to <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mrow><mml:mi>H</mml:mi><mml:mo stretchy="false">→</mml:mo><mml:msup><mml:mrow><mml:mi>Z</mml:mi></mml:mrow><mml:mn>0</mml:mn></mml:msup><mml:mi>γ</mml:mi></mml:mrow></mml:math>	https://doi.org/10.1103/physrevd.110.l051302	Physical review. D/Physical review. D.	true
2024	Two-loop electroweak corrections to the Higgs boson rare decay process <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>H</mml:mi><mml:mo stretchy="false">→</mml:mo><mml:mi>Z</mml:mi><mml:mi>γ</mml:mi></mml:math>	https://doi.org/10.1103/physrevd.110.l051301	Physical review. D/Physical review. D.	true
2024	Massive two-loop four-point Feynman integrals at high energies with AsyInt	https://doi.org/10.1007/jhep09(2024)069	Journal of High Energy Physics	true
2024	Next-to-next-to-leading order QCD EW corrections to Z-boson pair production at electron-positron colliders*	https://doi.org/10.1088/1674-1137/ad77b4	Chinese Physics C	true
2024	Heavy-to-light form factors to three loops	https://doi.org/10.1103/physrevd.110.056011	Physical review. D/Physical review. D.	true
2024	Analytic NNLO QCD corrections to top quark pair production in electron-positron collisions	https://doi.org/10.1007/jhep09(2024)014	Journal of High Energy Physics	true
2024	Higher-order tails and RG flows due to scattering of gravitational radiation from binary inspirals	https://doi.org/10.1007/jhep08(2024)161	Journal of High Energy Physics	true
2024	Dissecting polytopes: Landau singularities and asymptotic expansions in 2 → 2 scattering	https://doi.org/10.1007/jhep08(2024)127	Journal of High Energy Physics	true
2024	Three-loop corrections to Higgs boson pair production: reducible contribution	https://doi.org/10.1007/jhep08(2024)096	Journal of High Energy Physics	true
2024	Pseudoscalar Higgs plus jet production at Next-to-Next-to-Leading Order in QCD	https://doi.org/10.1007/jhep08(2024)042	Journal of High Energy Physics	true
2024	A computation of two-loop six-point Feynman integrals in dimensional regularization	https://doi.org/10.1007/jhep08(2024)027	Journal of High Energy Physics	true
2024	B meson mixing at NNLO: technical aspects	https://doi.org/10.1007/jhep08(2024)002	Journal of High Energy Physics	true
2024	Two-loop mixed QCD-EW corrections to charged current Drell-Yan	https://doi.org/10.1007/jhep07(2024)265	Journal of High Energy Physics	true
2024	<mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML"> <mml:mrow> <mml:mrow> <mml:mstyle> <mml:mrow> <mml:mrow> <mml:mi>C</mml:mi> </mml:mrow> </mml:mrow> </mml:mstyle> </mml:mrow> <mml:mtext>osmo</mml:mtext> <mml:mrow> <mml:mstyle> <mml:mrow> <mml:mrow> <mml:mi>F</mml:mi> </mml:mrow> </mml:mrow> </mml:mstyle> </mml:mrow> <mml:mtext>low</mml:mtext> </mml:mrow> </mml:math> : Python package for cosmological correlators	https://doi.org/10.1088/1361-6382/ad6740	Classical and Quantum Gravity	true
2024	Monte Carlo evaluation of divergent one-loop integrals without contour deformation	https://doi.org/10.1140/epjc/s10052-024-13109-6	The European Physical Journal C	true
2024	Learning Feynman integrals from differential equations with neural networks	https://doi.org/10.1007/jhep07(2024)124	Journal of High Energy Physics	true
2024	Two-loop master integrals for leading-color $$ pp\\to t\\overline{t}H $$ amplitudes with a light-quark loop	https://doi.org/10.1007/jhep07(2024)084	Journal of High Energy Physics	true
2024	Two-loop integrals for $$ t\\overline{t} $$+jet production at hadron colliders in the leading colour approximation	https://doi.org/10.1007/jhep07(2024)073	Journal of High Energy Physics	true
2024	An improved framework for computing waveforms	https://doi.org/10.1007/jhep07(2024)062	Journal of High Energy Physics	true
2024	Zc and Zcs systems with operator mixing at NLO in QCD sum rules	https://doi.org/10.1007/jhep06(2024)216	Journal of High Energy Physics	true
2024	Towards systematic evaluation of de Sitter correlators via Generalized Integration-By-Parts relations	https://doi.org/10.1007/jhep06(2024)199	Journal of High Energy Physics	true
2024	Two-loop mixed QCD-electroweak amplitudes for Z+jet production at the LHC: bosonic corrections	https://doi.org/10.1007/jhep06(2024)150	Journal of High Energy Physics	true
2024	D-module techniques for solving differential equations in the context of Feynman integrals	https://doi.org/10.1007/s11005-024-01835-7	Letters in Mathematical Physics	true
2024	URANOS-2.0: Improved performance, enhanced portability, and model extension towards exascale computing of high-speed engineering flows	https://doi.org/10.1016/j.cpc.2024.109285	Computer Physics Communications	true
2024	Electroweak Corrections to Double Higgs Production at the LHC	https://doi.org/10.1103/physrevlett.132.231802	Physical Review Letters	true
2024	Two-Loop QED Corrections to the Scattering of Four Massive Leptons	https://doi.org/10.1103/physrevlett.132.231904	Physical Review Letters	true
2024	Decay constants of $$ c\\overline{b} $$ mesons involving the ten heavy flavor-changing currents at N3LO QCD	https://doi.org/10.1007/jhep06(2024)012	Journal of High Energy Physics	true
2024	Giant correlators at quantum level	https://doi.org/10.1007/jhep05(2024)345	Journal of High Energy Physics	true
2024	NNLO QCD corrections to the q2 spectrum of inclusive semileptonic B-meson decays	https://doi.org/10.1007/jhep05(2024)287	Journal of High Energy Physics	true
2024	Box integrals with fermion bubbles for low-energy measurements of the weak mixing angle	https://doi.org/10.1140/epjc/s10052-024-12843-1	The European Physical Journal C	true
2024	Next-to-Next-to-Leading-Order QCD Corrections to Pion Electromagnetic Form Factors	https://doi.org/10.1103/physrevlett.132.201901	Physical Review Letters	true
2024	FeAmGen.jl: A Julia program for Feynman Amplitude Generation	https://doi.org/10.1016/j.cpc.2024.109230	Computer Physics Communications	false
2024	Two-loop amplitudes for $$ t\\overline{t}H $$ production: the quark-initiated Nf-part	https://doi.org/10.1007/jhep05(2024)013	Journal of High Energy Physics	true
2024	QCD corrections to the Golden decay channel of the Higgs boson	https://doi.org/10.1007/jhep04(2024)069	Journal of High Energy Physics	true
2024	Analytic third-order QCD corrections to top-quark and semileptonic <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>b</mml:mi><mml:mo stretchy="false">→</mml:mo><mml:mi>u</mml:mi></mml:math> decays	https://doi.org/10.1103/physrevd.109.l071503	Physical review. D/Physical review. D.	true
2024	All Two-Loop Feynman Integrals for Five-Point One-Mass Scattering	https://doi.org/10.1103/physrevlett.132.141601	Physical Review Letters	true
2024	Analytic auxiliary mass flow to compute master integrals in singular kinematics	https://doi.org/10.1007/jhep03(2024)159	Journal of High Energy Physics	true
2024	Two-loop massive QCD and QED helicity amplitudes for light-by-light scattering	https://doi.org/10.1007/jhep03(2024)121	Journal of High Energy Physics	true
2024	One loop QCD corrections to gg → $$t\\overline{t }H$$ at $$\\mathcal{O}\\left({\\epsilon }^{2}\\right)$$	https://doi.org/10.1007/jhep03(2024)093	Journal of High Energy Physics	true
2024	Analytic decay width of the Higgs boson to massive bottom quarks at next-to-next-to-leading order in QCD	https://doi.org/10.1007/jhep03(2024)068	Journal of High Energy Physics	true
2024	Heavy-Quark Pair Production at Lepton Colliders at NNNLO in QCD	https://doi.org/10.1103/physrevlett.132.101901	Physical Review Letters	true
2024	A high-precision result for a full-color three-loop three-point form factor in $$ \\mathcal{N} $$ = 4 SYM	https://doi.org/10.1007/jhep02(2024)201	Journal of High Energy Physics	true
2024	Full NNLO QCD corrections to diphoton production	https://doi.org/10.22323/1.449.0263		true
2024	The Higgs-gluon form factor at three loops in QCD with three mass scales	https://doi.org/10.1007/jhep02(2024)087	Journal of High Energy Physics	true
2024	Next-to-next-to-leading-order QCD corrections to double J/ψ production at the B factories	https://doi.org/10.1007/jhep02(2024)055	Journal of High Energy Physics	true
2024	Reconstruction of rational functions made simple	https://doi.org/10.1016/j.physletb.2024.138491	Physics Letters B	true
2024	Tropical Feynman integration in the physical region	https://doi.org/10.22323/1.449.0499		true
2024	Next-to-next-to-leading-order QCD corrections to e+e− → J/ψη at B factories	https://doi.org/10.1016/j.physletb.2024.138506	Physics Letters B	true
2024	Soft theorem to three loops in QCD and $$ \\mathcal{N} $$ = 4 super Yang-Mills theory	https://doi.org/10.1007/jhep01(2024)131	Journal of High Energy Physics	true
2024	Two-loop vertices with vacuum polarization insertion	https://doi.org/10.1007/jhep01(2024)010	Journal of High Energy Physics	true
2024	Analytic Computation of Multi-loop Feynman Integrals for Higher-order QCD Corrections	https://doi.org/10.1007/978-981-97-0289-3_5	Springer proceedings in physics	false
2023	Towards Systematic Evaluation of de Sitter Correlators via Generalized Integration-By-Parts Relations	https://doi.org/10.48550/arxiv.2401.00129	arXiv (Cornell University)	true
2023	Two-loop QCD corrections to <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>C</mml:mi></mml:math>-even bottomonium exclusive decays to double <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>J</mml:mi><mml:mo>/</mml:mo><mml:mi>ψ</mml:mi></mml:math>	https://doi.org/10.1103/physrevd.108.114030	Physical review. D/Physical review. D.	true
2023	Third order correction to semileptonic <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mrow><mml:mi>b</mml:mi><mml:mo stretchy="false">→</mml:mo><mml:mi>u</mml:mi></mml:mrow></mml:math> decay: Fermionic contributions	https://doi.org/10.1103/physrevd.108.114026	Physical review. D/Physical review. D.	true
2023	$Z_c$ and $Z_{cs}$ systems with operator mixing at NLO in QCD sum rules	https://doi.org/10.48550/arxiv.2312.14224	arXiv (Cornell University)	true
2023	Three-loop matching of heavy flavor-changing (axial-)tensor currents	https://doi.org/10.1007/jhep12(2023)152	Journal of High Energy Physics	true
2023	Two-loop form factors for diphoton production in quark annihilation channel with heavy quark mass dependence	https://doi.org/10.1007/jhep12(2023)105	Journal of High Energy Physics	true
2023	Two-Loop Master Integrals for Leading-Color $pp\\to t\\bar{t}H$ Amplitudes with a Light-Quark Loop	https://doi.org/10.48550/arxiv.2312.08131	arXiv (Cornell University)	true
2023	The Higgs-gluon form factor at three loops in QCD with three mass scales	https://doi.org/10.48550/arxiv.2312.05297	arXiv (Cornell University)	true
2023	The $$Q_{1,2}$$–$$Q_7$$ interference contributions to $$b \\rightarrow s \\gamma $$ at $${\\mathcal O}(\\alpha _{\\mathrm s}^2)$$ for the physical value of $$m_c$$	https://doi.org/10.1140/epjc/s10052-023-12270-8	The European Physical Journal C	true
2023	Ancillary files for "Learning Feynman integrals from differential equations with neural networks"	https://doi.org/10.48550/arxiv.2312.02067	arXiv (Cornell University)	true
2023	Three loop QCD corrections to the heavy-light form factors in the color-planar limit	https://doi.org/10.1007/jhep12(2023)001	Journal of High Energy Physics	true
2023	Restrictions of Pfaffian systems for Feynman integrals	https://doi.org/10.1007/jhep11(2023)202	Journal of High Energy Physics	true
2023	Electroweak corrections to double Higgs production at the LHC	https://doi.org/10.48550/arxiv.2311.16963	arXiv (Cornell University)	true
2023	Three-loop b → sγ vertex with current-current operators	https://doi.org/10.1007/jhep11(2023)166	Journal of High Energy Physics	true
2023	Mixed QCD-EW two-loop amplitudes for charged current Drell-Yan production	https://doi.org/10.22323/1.432.0015		true
2023	Next-to-next-to-leading-order QCD corrections to double $J/ψ$ production at the $B$ factories	https://doi.org/10.48550/arxiv.2311.04751	arXiv (Cornell University)	true
2023	Lepton-pair scattering with an off-shell and an on-shell photon at two loops in massless QED	https://doi.org/10.1007/jhep11(2023)041	Journal of High Energy Physics	true
2023	An observation on Feynman diagrams with axial anomalous subgraphs in dimensional regularization with an anticommuting γ5	https://doi.org/10.1007/jhep11(2023)030	Journal of High Energy Physics	true
2023	Analytic decay width of the Higgs boson to massive bottom quarks at next-to-next-to-leading order in QCD	https://doi.org/10.48550/arxiv.2310.20514	arXiv (Cornell University)	true
2023	NeatIBP 1.0, a package generating small-size integration-by-parts relations for Feynman integrals	https://doi.org/10.1016/j.cpc.2023.108999	Computer Physics Communications	false
2023	Higher-order tails and RG flows due to scattering of gravitational radiation from binary inspirals	https://doi.org/10.48550/arxiv.2310.20066	arXiv (Cornell University)	true
